,neighborhood,latitude,longitude,pedestrian_volume
0,Agincourt,43.79410100000001,-79.28219200000002,1104
1,Agincourt Centre,43.78152883125,-79.28807043462501,7958
2,Agincourt North,43.80854792140742,-79.27079190855555,17440
3,Alderwood,43.611251811277775,-79.54605010561113,3545
4,Alexandra Park,43.64806365,-79.40432050000001,13032
5,Armadale,43.8342014836,-79.254248247,2962
6,Armour Heights,43.7498120065,-79.43565780750001,5237
7,Bathurst Quay,43.63624669266667,-79.39827531033332,5134
8,Bayview Village,43.76885050833334,-79.37845112733335,4225
9,Bayview Woods-Steeles,43.79525114285714,-79.38718557142859,2554
10,Beach Hill,43.68041108000001,-79.3081874,4685
11,Beaches—East York,43.675673290384616,-79.31845860838463,17357
12,Beaumonde Heights,43.7435880382,-79.58501943520001,19945
13,Bedford Park,43.73482878750001,-79.41869299999999,7242
14,Bendale,43.75806721896001,-79.25658681812001,14398
15,Bennington Heights,43.69672979999999,-79.37173200000002,753
16,Birchcliff,43.695662324400004,-79.26125169459999,1564
17,Birchmount Park,43.71674167345455,-79.27407504563637,6063
18,Bloor Street Culture Corridor,43.66708447235001,-79.39583778145001,126610
19,Bloor West Village,43.64785544977778,-79.48049638411112,20076
20,Bloorcourt Village,43.6620004,-79.42463518000001,13627
21,Bloordale Gardens,43.63582318,-79.56452628000001,2355
22,Bloordale Village,43.6599342,-79.44210703333334,7928
23,Box Grove,43.84259,-79.22581000000002,4
24,Broadview North,43.68426608,-79.35400360000001,9438
25,Browns Corners,43.81672672727273,-79.2427938909091,2514
26,Cabbagetown,43.662074350000005,-79.36889333333333,24516
27,Canary District,43.6539,-79.3585,1266
28,Carleton Village,43.67241764285715,-79.45601842857143,7263
29,Castlefield Design District,43.70966875,-79.46385625000002,5177
30,Cedarvale,43.69728722000001,-79.4247556,4495
31,Centennial,43.7961340885,-79.1506917855,408
32,Chaplin Estates,43.69847790000001,-79.40219175,24011
33,Chestnut Hills,43.65809344933334,-79.51874606566666,1202
34,Chinatown,43.655257377777794,-79.39803233333333,90717
35,Chinatown East,43.665795599999996,-79.35099633333334,8461
36,Christie Pits,43.669596033333335,-79.42259253333334,5514
37,Church-Wellesley Village,43.6647154259,-79.38142644635,178926
38,CityPlace,43.639150951,-79.39366325528572,15541
39,Clairlea,43.70949965999999,-79.2984156,2409
40,Clarks Corners,43.80246125000001,-79.295078625,9808
41,Cliffcrest,43.724121334,-79.23651439144447,5603
42,Cliffside,43.70997959966666,-79.24843692383332,3923
43,Cloverdale,43.62722930913333,-79.55183549080002,5471
44,Concord Park Place,43.770548000000005,-79.365986,961
45,Corktown,43.657348,-79.35716125000002,3746
46,Corso Italia,43.677211622222224,-79.44188877777779,25438
47,Crescent Town,43.69525435575,-79.29365517900001,2910
48,Danforth East,43.68920010950001,-79.30275688350001,16021
49,Danforth Station,43.684178481818186,-79.29116881818183,16703
50,Danforth Village,43.68362934444444,-79.32033544444445,28120
51,Danforth by the Valley,43.678078199999995,-79.3563898,23497
52,Davenport,43.6596692,-79.44278618181819,22454
53,Davisville,43.70652285,-79.3876425,28621
54,Deer Park,43.687941732800006,-79.39810048080001,37700
55,Discovery District,43.65871191111111,-79.38926922222223,105377
56,Distillery District,43.650192,-79.362162,3658
57,Don Mills,43.73397737492858,-79.34711423614286,10655
58,Don Vale,43.66805735,-79.36440150000001,4499
59,Don Valley East,43.75240513140001,-79.31824074650001,11962
60,Don Valley North,43.79776795675,-79.33690607687501,4923
61,Don Valley Village,43.795162350272726,-79.353639554,18926
62,Don Valley West,43.73688815,-79.39314650000001,3196
63,Dorset Park,43.75059258766667,-79.28185571622224,6971
64,Dovercourt,43.665588436363635,-79.43313154545454,24750
65,Downsview,43.726737215384624,-79.48371640769231,12885
66,Downtown Yonge,43.65539043076922,-79.38032878461539,235786
67,Dufferin Grove,43.65559350000001,-79.43017933333334,8184
68,Earlscourt,43.68075445,-79.44894925,7102
69,East End,43.66956722857144,-79.33240057142858,15475
70,Eatonville,43.64614339471429,-79.56215000457144,3316
71,Eglinton,43.737874033333334,-79.24035466666668,2649
72,Eglinton Way,43.7021529,-79.41759214285715,8615
73,Eglinton—Lawrence,43.715802899571436,-79.41827149647621,31589
74,Ellesmere,43.767123002285715,-79.28676653700002,6025
75,Emery,43.757672464200006,-79.54264173190002,11611
76,Entertainment District,43.64739839047619,-79.38853705714288,267667
77,Eringate,43.659781265375,-79.582559532625,3729
