,Postcode,Borough,Neighbourhood,Latitude,Longitude
2,M3A,North York,Parkwoods,43.7587999,-79.3201966
3,M4A,North York,Victoria Village,43.732658,-79.3111892
4,M5A,Downtown Toronto,Harbourfront,43.6400801,-79.3801495
5,M5A,Downtown Toronto,Regent Park,43.6607056,-79.3604569
6,M6A,North York,Lawrence Heights,43.7227784,-79.4509332
7,M6A,North York,Lawrence Manor,43.7220788,-79.4375067
10,M9A,Etobicoke,Islington Avenue,43.6393743,-79.5212175
11,M1B,Scarborough,Rouge,43.8049304,-79.1658374
12,M1B,Scarborough,Malvern,43.8091955,-79.2217008
14,M3B,North York,Don Mills North,43.737178,-79.3434514
15,M4B,East York,Woodbine Gardens,43.7120785,-79.3025673
16,M4B,East York,Parkview Hill,43.7062977,-79.3219073
17,M5B,Downtown Toronto,Ryerson,43.65815275,-79.37908010263
18,M5B,Downtown Toronto,Garden District,43.6565019,-79.3771275
19,M6B,North York,Glencairn,43.7087117,-79.4406853
22,M9B,Etobicoke,Cloverdale,43.633637,-79.5497447
23,M9B,Etobicoke,Islington,43.6453376,-79.52487
24,M9B,Etobicoke,Martin Grove,43.6449033,-79.3818364
25,M9B,Etobicoke,Princess Gardens,43.6404664,-79.3912237
26,M9B,Etobicoke,West Deane Park,43.6631995,-79.5685684
27,M1C,Scarborough,Highland Creek,43.7901172,-79.1733344
28,M1C,Scarborough,Rouge Hill,43.7802711,-79.1304992
29,M1C,Scarborough,Port Union,43.7755039,-79.1349765
31,M3C,North York,Flemingdon Park,43.7184315,-79.333204
32,M3C,North York,Don Mills South,43.737178,-79.3434514
33,M4C,East York,Woodbine Heights,43.6999302,-79.3191316
34,M5C,Downtown Toronto,St. James Town,43.6694032,-79.3727041
38,M9C,Etobicoke,Bloordale Gardens,43.6353169,-79.5636744
39,M9C,Etobicoke,Eringate,43.6622732,-79.5765162
40,M9C,Etobicoke,Markland Wood,43.63123795,-79.5854368166265
41,M9C,Etobicoke,Old Burnhamthorpe,43.6393732,-79.5843869
42,M1E,Scarborough,Guildwood,43.7548985,-79.1977755
43,M1E,Scarborough,Morningside,43.7826012,-79.2049579
44,M1E,Scarborough,West Hill,43.7689144,-79.1872905
47,M4E,East Toronto,The Beaches,43.6710244,-79.296712
48,M5E,Downtown Toronto,Berczy Park,43.6479887,-79.3753927260178
53,M1G,Scarborough,Woburn,43.7598243,-79.2252908
56,M4G,East York,Leaside,43.7047983,-79.3680904
57,M5G,Downtown Toronto,Central Bay Street,43.6569623,-79.3842242
58,M6G,Downtown Toronto,Christie,43.6641106,-79.4184051
62,M1H,Scarborough,Cedarbrae,43.75646655,-79.226692442588
63,M2H,North York,Hillcrest Village,43.7996637,-79.3650189
64,M3H,North York,Bathurst Manor,43.76389295,-79.4563669371095
65,M3H,North York,Downsview North,43.7492988,-79.462248
66,M3H,North York,Wilson Heights,43.7405195,-79.4400172
67,M4H,East York,Thorncliffe Park,43.704553,-79.3454074
