,TCS #,Main,Midblock Route,Side 1 Route,Side 2 Route,Activation Date,Latitude,Longitude,Count Date,8 Peak Hr Vehicle Volume,8 Peak Hr Pedestrian Volume,neighborhood
0,2,JARVIS ST,,FRONT ST E,,11/15/1948,43.649418000000004,-79.371446,2017-06-21,15662,13535,St. Lawrence
1,3,KING ST E,,JARVIS ST,,08/23/1950,43.6504606,-79.3719239,2016-09-17,12960,7333,St. Lawrence
2,4,JARVIS ST,,ADELAIDE ST E,,09/12/1958,43.6515337,-79.37236,2016-11-08,17770,7083,St. Lawrence
3,5,JARVIS ST,,RICHMOND ST E,,04/21/1962,43.6527176,-79.37282400000001,2015-12-08,19678,4369,King East
4,6,JARVIS ST,,QUEEN ST E,,08/24/1928,43.653704000000005,-79.373238,2016-09-17,14487,3368,King East
5,7,JARVIS ST,,SHUTER ST,,11/18/1948,43.655357,-79.373862,2016-11-08,15846,3747,Garden District
6,8,JARVIS ST,,DUNDAS ST E,,06/21/1928,43.657052,-79.374531,2017-06-27,17835,5858,Garden District
7,9,JARVIS ST,,GERRARD ST E,,07/14/1941,43.660432,-79.37585370000001,2016-11-01,18196,6493,Garden District
8,10,JARVIS ST,,CARLTON ST,,06/28/1928,43.662420000000004,-79.3767079,2017-01-21,14222,6165,Church-Wellesley Village
9,11,JARVIS ST,,WELLESLEY ST E,,09/28/1948,43.666289400000004,-79.378325,2016-11-01,18163,5213,Church-Wellesley Village
10,12,JARVIS ST,,ISABELLA ST,,09/13/1960,43.668869,-79.3794158,2016-11-01,15197,2713,Church-Wellesley Village
11,13,MOUNT PLEASANT RD,,CHARLES ST E,JARVIS ST,05/23/1950,43.6699892,-79.3799226,2016-11-01,16280,2976,Yorkville
12,14,BLOOR ST E,,TED ROGERS WAY,,03/28/1951,43.6715773,-79.38052,2018-01-11,15844,9810,Rosedale
13,15,CHURCH ST,,FRONT ST E,WELLINGTON ST E,04/24/1950,43.648513176,-79.37383353700001,2015-04-20,10467,7381,King East
14,16,KING ST E,,CHURCH ST,,01/10/1928,43.6499164,-79.374409,2016-11-08,12017,20866,King East
15,17,CHURCH ST,,ADELAIDE ST E,,11/22/1948,43.651173,-79.374925,2016-11-08,13816,9692,King East
16,18,CHURCH ST,,RICHMOND ST E,,11/22/1948,43.652441,-79.375448,2016-11-08,10374,7179,Garden District
17,19,QUEEN ST E,,CHURCH ST,,08/24/1983,43.65317,-79.375754,2016-11-08,13867,11799,King East
18,20,CHURCH ST,,SHUTER ST,,11/18/1948,43.654817,-79.376441,2016-11-08,11028,6952,Garden District
19,21,DUNDAS ST E,,CHURCH ST,,12/17/1952,43.656499000000004,-79.377127,2015-04-13,13764,10302,Garden District
20,22,CHURCH ST,,GERRARD ST E,,07/18/1941,43.659858,-79.378522,2016-11-08,13437,15840,Downtown Yonge
