Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Agincourt,43.79410100000001,-79.28219200000002,Shell,43.79754431148189,-79.28334523968789,Gas Station
Agincourt,43.79410100000001,-79.28219200000002,Subway,43.797503,-79.282181,Sandwich Place
Agincourt,43.79410100000001,-79.28219200000002,Havendale Park,43.796009944529736,-79.28439831123673,Park
Agincourt,43.79410100000001,-79.28219200000002,Donalda Park,43.79028,-79.28363,Park
Agincourt Centre,43.78152883125,-79.28807043462501,Congee Queen ????,43.78391001318973,-79.292318876117,Cantonese Restaurant
Agincourt Centre,43.78152883125,-79.28807043462501,Burger King,43.783653,-79.292935,Fast Food Restaurant
Agincourt Centre,43.78152883125,-79.28807043462501,The Beer Store,43.7850155,-79.2898613,Beer Store
Agincourt Centre,43.78152883125,-79.28807043462501,Subway,43.78366468123366,-79.29270926721443,Sandwich Place
Agincourt Centre,43.78152883125,-79.28807043462501,McDonald's,43.78430525260515,-79.29123967452111,Fast Food Restaurant
Agincourt Centre,43.78152883125,-79.28807043462501,Shoppers Drug Mart,43.78383537808362,-79.28973861459527,Pharmacy
Agincourt Centre,43.78152883125,-79.28807043462501,New Dynasty Bakery ?????,43.78267814809465,-79.28928124612113,Bakery
Agincourt Centre,43.78152883125,-79.28807043462501,Pho Nhi,43.78363,-79.28794,Vietnamese Restaurant
Agincourt Centre,43.78152883125,-79.28807043462501,Domino's Pizza,43.78343190768269,-79.28634126976257,Pizza Place
Agincourt Centre,43.78152883125,-79.28807043462501,Big bite burrito,43.783601252351104,-79.28669903392858,Burrito Place
Agincourt Centre,43.78152883125,-79.28807043462501,LCBO,43.78482099053082,-79.28991236305896,Liquor Store
Agincourt Centre,43.78152883125,-79.28807043462501,BBS Wellness Centre,43.78413900387448,-79.28957462310791,Spa
Agincourt Centre,43.78152883125,-79.28807043462501,Bulk Barn,43.78199819558415,-79.29232350703903,Market
Agincourt Centre,43.78152883125,-79.28807043462501,Pet Valu,43.784123867733996,-79.29067287614652,Pet Store
Agincourt Centre,43.78152883125,-79.28807043462501,Dollarama,43.782086464799484,-79.29248858631237,Discount Store
Agincourt Centre,43.78152883125,-79.28807043462501,Tim Hortons,43.7838083,-79.293351,Coffee Shop
Agincourt Centre,43.78152883125,-79.28807043462501,M&M Food Market,43.7839388,-79.2925043,Grocery Store
Agincourt Centre,43.78152883125,-79.28807043462501,Just Games,43.78404925116477,-79.29281934114317,Video Game Store
Agincourt Centre,43.78152883125,-79.28807043462501,Orchid Garden Deli and Grill,43.78405306358629,-79.29283034852892,Deli / Bodega
Agincourt Centre,43.78152883125,-79.28807043462501,A K Sports Cards & Comics,43.784034,-79.293109,Hobby Shop
Agincourt Centre,43.78152883125,-79.28807043462501,Pizza Pizza,43.783903043982455,-79.2927534586505,Pizza Place
Agincourt Centre,43.78152883125,-79.28807043462501,No Frills,43.783082750512044,-79.29278381725555,Grocery Store
Agincourt Centre,43.78152883125,-79.28807043462501,Walmart,43.78428376632599,-79.2911873852549,Big Box Store
Agincourt Centre,43.78152883125,-79.28807043462501,Agincourt Mall,43.783736225985066,-79.29210662841797,Shopping Mall
Agincourt North,43.80854792140742,-79.27079190855555,Saravanaa Bhavan South Indian Restaurant,43.81011674776289,-79.26927478027933,Indian Restaurant
Agincourt North,43.80854792140742,-79.27079190855555,Menchie's,43.80833791536094,-79.26828825119229,Ice Cream Shop
Agincourt North,43.80854792140742,-79.27079190855555,Booster Juice,43.80991481104798,-79.26938167887475,Juice Bar
Agincourt North,43.80854792140742,-79.27079190855555,Dollarama,43.808889143556605,-79.26888942718506,Discount Store
Agincourt North,43.80854792140742,-79.27079190855555,Congee Town ????,43.80903482487377,-79.26763433869755,Chinese Restaurant
Agincourt North,43.80854792140742,-79.27079190855555,Shoppers Drug Mart,43.80811851123266,-79.26974366257573,Pharmacy
Agincourt North,43.80854792140742,-79.27079190855555,Tim Hortons,43.8099935,-79.2690319,Coffee Shop
Agincourt North,43.80854792140742,-79.27079190855555,TD Canada Trust,43.80998892900833,-79.26887770118698,Bank
Agincourt North,43.80854792140742,-79.27079190855555,Subway,43.80900706809853,-79.26762743677006,Sandwich Place
Agincourt North,43.80854792140742,-79.27079190855555,Popeyes Louisiana Kitchen,43.80865177635264,-79.2679286798945,Fried Chicken Joint
Agincourt North,43.80854792140742,-79.27079190855555,Pizza Pizza,43.80831774036611,-79.26853687580636,Pizza Place
Agincourt North,43.80854792140742,-79.27079190855555,Woodside Cinemas,43.80990026145251,-79.26952068181036,Movie Theater
Agincourt North,43.80854792140742,-79.27079190855555,Wild Wing,43.80879900043356,-79.26780785019103,Wings Joint
Agincourt North,43.80854792140742,-79.27079190855555,Bento Box,43.809247850827546,-79.26902935359769,Japanese Restaurant
Agincourt North,43.80854792140742,-79.27079190855555,Taco Bell,43.8098027509769,-79.26923274993896,Taco Place
Agincourt North,43.80854792140742,-79.27079190855555,EB Games,43.809619671102986,-79.2696718743426,Video Game Store
Agincourt North,43.80854792140742,-79.27079190855555,Cakewood Bakery & Cafe,43.80986005895067,-79.26953031570356,Bakery
Agincourt North,43.80854792140742,-79.27079190855555,Smokers Corner Newstand,43.808624242713506,-79.2694367295796,Convenience Store
Agincourt North,43.80854792140742,-79.27079190855555,Everbest Bakery,43.80889916631563,-79.26962940679175,Bakery
Agincourt North,43.80854792140742,-79.27079190855555,Le Château,43.808635288928365,-79.26829717339312,Clothing Store
Agincourt North,43.80854792140742,-79.27079190855555,SVP Sports Outlet,43.81017619950153,-79.2696127836144,Sporting Goods Shop
Agincourt North,43.80854792140742,-79.27079190855555,Viterna Health Centre,43.81001583057128,-79.26898531284488,Spa
Agincourt North,43.80854792140742,-79.27079190855555,Xe Lua Vietnamese Cuisine ???,43.809224039056005,-79.26954724166934,Vietnamese Restaurant
Agincourt North,43.80854792140742,-79.27079190855555,McDonald's,43.808313563434496,-79.26746149002385,Fast Food Restaurant
Alderwood,43.611251811277775,-79.54605010561113,Farm Boy,43.61001249260805,-79.54758144706244,Grocery Store
Alderwood,43.611251811277775,-79.54605010561113,Dollarama,43.60951042872165,-79.5476856289529,Discount Store
Alderwood,43.611251811277775,-79.54605010561113,Morocco House,43.609938,-79.54902,Moroccan Restaurant
Alderwood,43.611251811277775,-79.54605010561113,Esso,43.612281743555435,-79.54193963327889,Gas Station
Alderwood,43.611251811277775,-79.54605010561113,Dollarama,43.609409004156184,-79.5476856289529,Discount Store
Alderwood,43.611251811277775,-79.54605010561113,Sav-On Drug Mart,43.60989067411187,-79.54961756159075,Pharmacy
Alderwood,43.611251811277775,-79.54605010561113,Hwy 427 & Gardiner Expwy.,43.613708194816596,-79.54869747161865,Road
Alderwood,43.611251811277775,-79.54605010561113,Evans and Brown's Line,43.60949161578132,-79.55052314089633,Intersection
Alderwood,43.611251811277775,-79.54605010561113,xxx adult vhs depot,43.61262256691275,-79.55150554704171,Video Store
Alexandra Park,43.64806365,-79.40432050000001,Early Bird Espresso & Brew Bar,43.647419183755126,-79.40255659297493,Café
Alexandra Park,43.64806365,-79.40432050000001,GoodLife Fitness Toronto Richmond and Bathurst,43.64655588952475,-79.40265968543741,Gym
Alexandra Park,43.64806365,-79.40432050000001,Tequila Bookworm,43.64769690944723,-79.40154896874483,Bar
Alexandra Park,43.64806365,-79.40432050000001,North of Brooklyn Pizzeria,43.646945,-79.406561,Pizza Place
Alexandra Park,43.64806365,-79.40432050000001,Neat,43.64689475245108,-79.40568791122043,Furniture / Home Store
Alexandra Park,43.64806365,-79.40432050000001,Lamesa,43.647052218279086,-79.40465322314158,Filipino Restaurant
Alexandra Park,43.64806365,-79.40432050000001,416 Snack Bar,43.64751101216232,-79.40401784574094,Speakeasy
Alexandra Park,43.64806365,-79.40432050000001,Outer Layer,43.64762126599825,-79.4014203057623,Gift Shop
Alexandra Park,43.64806365,-79.40432050000001,La Palette,43.64782019405015,-79.40095745762193,French Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Ramen Misoya,43.64677773105476,-79.40625175879019,Ramen Restaurant
Alexandra Park,43.64806365,-79.40432050000001,CB2,43.64707,-79.40368,Furniture / Home Store
Alexandra Park,43.64806365,-79.40432050000001,Frank & Oak,43.646578679273,-79.4066551656789,Clothing Store
Alexandra Park,43.64806365,-79.40432050000001,Bovine Sex Club,43.64754266196796,-79.40268742338397,Nightclub
Alexandra Park,43.64806365,-79.40432050000001,Cherry Cola's Rock N Rolla Cabaret & Lounge,43.64785574097798,-79.40431991031986,Rock Club
Alexandra Park,43.64806365,-79.40432050000001,Tokyo Smoke,43.64675,-79.40714,Smoke Shop
Alexandra Park,43.64806365,-79.40432050000001,Core Studio Yoga & Pilates,43.647919673434195,-79.40019574557343,Yoga Studio
Alexandra Park,43.64806365,-79.40432050000001,Fashionably Yours,43.64682741714866,-79.40582600987771,Boutique
Alexandra Park,43.64806365,-79.40432050000001,Nugateau,43.646768455416534,-79.40615058769924,Dessert Shop
Alexandra Park,43.64806365,-79.40432050000001,Saku Sushi,43.648038262053305,-79.40026848917229,Sushi Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Pat's Homestyle Jamaican Restaurant,43.64738643913458,-79.40321008296453,Caribbean Restaurant
Alexandra Park,43.64806365,-79.40432050000001,B.GOOD,43.64775427416166,-79.40111035649997,Fast Food Restaurant
Alexandra Park,43.64806365,-79.40432050000001,Barreworks,43.64732263896442,-79.40296435435697,Gym / Fitness Center
Alexandra Park,43.64806365,-79.40432050000001,Warby Parker,43.64656073178581,-79.40765043133744,Optical Shop
Alexandra Park,43.64806365,-79.40432050000001,Fahrenheit Coffee,43.64703669923361,-79.40087579760974,Coffee Shop
Alexandra Park,43.64806365,-79.40432050000001,Arepa Cafe,43.64784655479944,-79.40092457183587,Arepa Restaurant
